utterance,expected
what's your parking policy,faq
Whats the address again,faq
When are you closed?,faq
When is the best day and time for tour? Do I have to do application online or in office?,tourBooking
Where are the apartments located ?,faq
Where are you located at,faq
Where are your rentals,faq
where be -PRON-,faq
where be the property locate again,faq
Where can i walk to near the house,faq
Where can i wash my clothes,faq
Where is the lease office,faq
where would i be live,faq
Where you guys located,faq
which location are you with?,faq
would -PRON- be able to use the pool,faq
would i be able to park,faq
Would it be possible to come see it tomorrow and possibly apply?,faq
Yeah I like that one. Are you guys primarily located in downtown sf?,faq
Yes about your rent special,faq
Yes and I haven't received the application link yet,faq
Yes do this unit have any garage,faq
Yes hello I wanted to know about the utilities and unit size available around the time,faq
Yes I have a question for how much time is the contract?,faq
Yes I was wondering how's the parking like,faq
Yes i was wondering if you accepted college students with no credit history but had the income for the apartment ?,faq
Yes ma'am and I'd love to fill out an application,faq
Yes ma'am would Friday at 3 work ?do y'all have a washer and dryer included!,faq
Yes so I’m looking to possibly relocate however I’m wanting to know about the move in special you guys have I currently live in Monroe Louisiana,faq
Yes what's the address,faq
"Yes, hello Ryan, thank you for the quick reply! Sorry I can't answer the call at the moment but I would like to know what the max occupancy for the unit is?",faq
"Yes, I submitted the application about 3 minutes ago",faq
Yes! Parking is free?,faq
and how long is the lease ?,faq
Currently I am not looking for any apartment,notInterested
Hello I'm not interested in the apartment I've already found one and actually the one I wanted I greatly appreciate you reaching out have a nice day 😊,notInterested
Hello yes I found a place,notInterested
"Hello, I'm not interested any longer. Thank you for reaching out",notInterested
"hey kelsey, first off - great gif. second, we've got a self guided appointment later this evening! thanks for reaching out",notInterested
"Hey Ryan, I'm still just looking but if I do schedule a tour I'll let you know. Thank you.",notAvailableInPerson
Hi - not interested - thanks,notInterested
Hi I've been there before and have seen the place,notInterested
Hi Kelsey- no further information is needed at this time. I appreciate the follow-up!,notInterested
"Hi Kelsey, I'm sorry but I am not interested anymore thank you",notInterested
"Hi Kelsey, that was a while ago, I already found a place, thanks though!",notInterested
"Hi. I have not seen another place yet, but my husband said I should hold on, the place is too far to his office. Thanks",notAvailableInPerson
I don t need tour,notInterested
I don't want a tour,notInterested
I don't want to book a tour right now,notAvailableInPerson
"I have already booked a tour""",notInterested
I just scheduled a tour for Thursday,notInterested
I live in Baton Rouge so it's hard for a showing,notAvailableInPerson
I scheduled a tour on the website for Saturday at 11:00 AM,notInterested
I think you have the wrong number,notInterested
"I won't be in houston until mid oct , thank you",notAvailableInPerson
I'm not interested. Thank you.,notInterested
I'm not looking for a rental anymore. Please close this out. Thanks!,notInterested
Just leave me alone,notInterested
No need to book a tour,notInterested
No need to reschedule a tour,notInterested
No not moving now. Lost job. But thank you for checking.,notInterested
No please stop texting me now thank you,notInterested
No thank you,notInterested
No thank you we signed a leased today with another property,notInterested
"No, I found a place. Thank you.",notInterested
please stop texting me. i have asked to be removed from the list. i get at least 3 texts daily.,notInterested
So please stop spamming me with msgs all the time,notInterested
Somewhat! I am just not interested in setting up an account right now!,notInterested
Sorry I am not interested anymore,notInterested
"Take me off your 
Contact list",notInterested
We have selected another property thank you for your time,notInterested
Na we good,notInterested
No I don't really like that one.,notInterested
No our dog is not allowed. Thank you,notInterested
Thanks We decide to stay more time in our current home ...,notInterested
"hello, thank you for reaching out. i do not wish to reschedule at this time, but i appreciate your time and efforts.",notInterested
I would not like to reschedule thank you,notInterested
"""Hi Kelsey, 
Thank you for reaching out. I must be at work today and tomorrow. Can we reschedule it for Saturday?""",rescheduleTour
can i reschedule for saturday at 1 if possible ?,rescheduleTour
can i reschedule please for tomorrow,rescheduleTour
Can it be earlier,unknown
Can we move the appointment to 2 ?,rescheduleTour
Can we move the appointment to 2:00 ?,rescheduleTour
Can we reschedule for 130pm,rescheduleTour
Could I reschedule for next weekend 12:30?,rescheduleTour
"Family emergency came up, I will not be there at 2 PM. I will call back as soon as I can to reschedule",rescheduleTour
Good morning I won't be able to make it today after all. I will have to reschedule sorry for the inconvenience,rescheduleTour
Hello do you mind if we reschedule,rescheduleTour
"Hello, I need to reschedule the appointment for today please",rescheduleTour
Hey I had a Dr appointment via the phone that went east longer than expected. Could I possibly reschedule the viewing?,rescheduleTour
Hey I'm sorry I will have to reschedule,rescheduleTour
"Hey thank you very much for reaching out, I'm going to have to reschedule the appointment, I won't have the time today bc of work , I'll call on Tuesday to set a new appointment",rescheduleTour
"Hey, I sorry to say I have to reschedule what is the next time I can do",rescheduleTour
Hi can we reschedule to 945?,rescheduleTour
Hi good afternoon. Would we be able to reschedule the tour? I got called in to work early.,rescheduleTour
"Hi good morning, I really apologize because I couldn't show up on Sunday for the booked appointment, I had some family commitments and I totally forgot, Sorry. Do you think it is possible to schedule a new appointment as soon as possible? Thank you very much in advance",rescheduleTour
Hi I tried to attend but the link was broken. Any way we can reschedule for tomorrow?,rescheduleTour
"Hi Kelsey, is there any ways to reschedule tour on this Friday?",rescheduleTour
"Hi Kelsey!! I'm so sorry for the short notice, but I just tested positive for covid so will have to delay my tour of your lovely community until a later date for safety!",rescheduleTour
"Hi, I will not be able to arrive at the agreed time. I'm in a meeting and I don't know what time it ends.",rescheduleTour
"Hi, would it be possible to reschedule it tomorrow",rescheduleTour
Hi. Am I able to reschedule my appointment for Wednesday?,rescheduleTour
"Hiii! I'm still interested, can we reschedule for today or tomorrow?",rescheduleTour
I am unable to come today and have rescheduled to come next week,rescheduleTour
I cancelled and rescheduled for another day. I don't think it was recorded. I will be at work tomorrow.Thanks anyway,rescheduleTour
"I have to work, I'll reschedule.",rescheduleTour
I need to change my tour time,rescheduleTour
I need to reschedule for tomorrow please,rescheduleTour
I need to reschedule OR I need to change my time,rescheduleTour
I rescheduled for Saturday,rescheduleTour
I want be able to make it I reschedule later thanks,rescheduleTour
I won't be able to make at 3 PM,rescheduleTour
I'm so very sorry but can we reschedule I have an emergency I have to take care of,rescheduleTour
If it's raining as reported for tomorrow I will have to reschedule to another day,rescheduleTour
If possible can I move it to 4?,rescheduleTour
Kelsey yes let's reschedule for Monday? How does that sound?,rescheduleTour
"Kelsey, the email I received says I am booked for a tour at 10:45 on Thursday Sept 1. I cannot attend then. Please correct it and make it for 10am in Sept 5",rescheduleTour
Need to reschedule,rescheduleTour
"No, thank you for your availability on touring the apartment complex. Unfortunately we are unable to tour today. Thank you!
",rescheduleTour
Question if possible can I move my time to 3:00?,rescheduleTour
Question if possible can I move my time to 3?,rescheduleTour
reschedule my tour,rescheduleTour
Yes I'm so sorry can we please reschedule,rescheduleTour
"Yes, I would like to reschedule for this Friday",rescheduleTour
"Yes, that will work. If I have to reschedule, I will let you know (must check with my sitter, but there's usually no issue). Thank you! Btw, my legal name is Candace Abigail Smith, if you want that for your records.",rescheduleTour
That doesn't work. I get off work at 6,tourBooking
An earlier time please,unknown
Bye,smallTalk
Good afternoon,smallTalk
Good Evening,smallTalk
Good morning,smallTalk
Good Night,smallTalk
Goodbye,smallTalk
Greetings,smallTalk
Greetings!,smallTalk
Hello,smallTalk
hey,smallTalk
hey are you there,smallTalk
hey kelsey,smallTalk
Heya,smallTalk
Hi,smallTalk
Hi there!,smallTalk
"Hi, How is it going?",smallTalk
"Hi, nice to meet you.",smallTalk
Hii,smallTalk
How are you doing?,smallTalk
How do you do?,smallTalk
It is a pleasure to meet you.,smallTalk
Nice to meet you.,smallTalk
See you,smallTalk
Thank you,smallTalk
Thanks,smallTalk
thanks a lot,smallTalk
thanks for that,smallTalk
Thanks for the help,smallTalk
That's helpful,smallTalk
thnx,smallTalk
Top of the morning to you!,smallTalk
What's up?,smallTalk
Oh okay thank you,smallTalk
thanks,smallTalk
thanks sounds good 👍,smallTalk
"Perfect, thank you!",yesIntent
Thank you for rescheluding,smallTalk
Thank you for your time!,smallTalk
Thank you so much,smallTalk
"Thank you so much
Good night",smallTalk
Thank you so much and you have a great day as well,smallTalk
Thank you so much for your time,smallTalk
Thank you so much!,smallTalk
Thanks for reaching out,smallTalk
Thanks so much,smallTalk
Thankyou,smallTalk
Will do!,smallTalk
Will do. Thanks!,smallTalk
You too,unknown
Great thank you so much!!,smallTalk
Thanks! Sure thing.,smallTalk
And no worries! Thank you so much for getting back to me Ryan!,smallTalk
Hi! Thanks for reaching out!,smallTalk
I have been so busy with work and I work from 9pm to 7 am Sunday through Thursday nights. So when I get off I'm dragging myself because of the type of work I do,unknown
"1 is fine. I'll rearrange some things, thanks!",tourBooking
10am is cool?,tourBooking
12pm works fine,tourBooking
21st april 9 pm,tourBooking
3 pm works for me,tourBooking
6:30 would probably work best for me,tourBooking
9 am works for me,tourBooking
A tour please,tourBooking
"And yes pls, I will like to see available 2bed 2baths you have in advance. Thanks",tourBooking
Anytime tomorrow is fine,tourBooking
APRIL 1ST @11AM,tourBooking
April 6th I'll be free,tourBooking
Are u open Saturday,tourBooking
Are you available this Sunday 12-3pm or next Thursday 11-3pm ? Those are my days off,tourBooking
Are you available tomorrow morning?,tourBooking
Around 12:15pm,tourBooking
"As of right now, no ma'am. We already have a scheduled tour this Thursday at 4:30",tourBooking
But yes I'd like to schedule a tour,tourBooking
can i book a tour with -PRON-,tourBooking
can i come for a tour,tourBooking
can i come for tour,tourBooking
can i come in for a tour later today,tourBooking
can I come this monday?,tourBooking
Can I come tommorow around 1030 please,tourBooking
Can I make an appointment,tourBooking
"Can I see it tomorrow after work, 5:45pm?",tourBooking
can i visit this monday?,tourBooking
Can they open up for 10 minutes I can't do any of these,tourBooking
Can we do a tour Tuesday?,tourBooking
Can we do tomorrow at 3:30pm,tourBooking
can you prvide tomorrow's slot for visit?,tourBooking
could i come and visit,tourBooking
could i schedule a viewing,tourBooking
Did you rent out #5 yet?..its been posted off the market,tourBooking
do -PRON- guy do in person tour,tourBooking
Do you have any times on Friday?,tourBooking
Do you have any tours available the 23rd?,tourBooking
Do you have anything available today?,tourBooking
Do you have tour availability next Saturday,tourBooking
Do you schedule tours for the Jekyll building as well?,tourBooking
Friday works! I'm a chef so work early morning at 6 till 2:30 so Friday works!,tourBooking
"Friday, 10:30Am",tourBooking
"Good afternoon if I would like, tell me at what time and the address",tourBooking
"Good morning sorry for the delayed response but yes would like to schedule a tour, preferably tomorrow",tourBooking
"Great!
I have to check my schedule to see when I can come, my daughter doesn't get out of school until 4pm Monday-Friday",tourBooking
hello can i see the estudio tomorrow like at 12 am,tourBooking
hello Ryan thank you for your attention ok I am free that Saturday or Sunday if possible I would like to visit thank you.,tourBooking
"Hello Ryan,
Yes, I would like to schedule a tour. Are there any time slots for tomorrow after 3.30 pm or for Sunday?",tourBooking
"Hello Ryan, I would like to schedule for Tuesday's or Wednesday.",tourBooking
"Hello Ryan, is the 6:00pm appt for the moving still available for tomorrow???",tourBooking
Hello Ryan! Thank you for getting back to me! I would love to schedule a tour for this Friday or the following if you're available,tourBooking
"Hello Ryan! Thank you for reaching out. I would love to schedule a showing. I can do this evening if possible, or anytime this weekend.",tourBooking
"Hello, I have the tour schedule it for 2/9 at 6 pm",tourBooking
"Hello, I stuck at a meeting. Do you have any availability over the weekend ?",tourBooking
"Hello, I would like to schedule a tour for Saturday 13, I would like to see studio #302",tourBooking
"Hello,This Is Lee. I Don't Remember Where Your Apartments Are Located, Perhaps Next Tuesday I Could Come To View The Apartments In Question?",tourBooking
"Hey Ryan, thank you i am doing well and hoping the same for you. yes i would love to schedule a tour. when are you available?",tourBooking
Hey Ryan! I hope you are as well! Yes I'd like to schedule a tour. I was wondering also the availability of a 3 bed room - is that something you have?,tourBooking
Hey! Yup. I believe I booked a tour for Saturday. Did that come through on your end,tourBooking
"Hi I am, however I currently live in the Sacramento area so I would need to go next weekend if that's possible?",tourBooking
Hi I'm not available Saturday I work until 5:45,tourBooking
"Hi Kelsey, I can take a look at the apartment in a couple weeks.",tourBooking
"Hi Kelsey, thanks for reaching out to me. I will be in Houston on Friday and was wondering if there where any available tour's and at what time.",tourBooking
Hi Kelsey. Thank you for reaching out. I would like to tour the apartment on Thursday at 2pm. An in-person tour would be best for me,tourBooking
"Hi Ryan, sorry I need to reschedule the tour, would it be possible tomorrow morning?",tourBooking
"Hi Ryan, thanks for reaching out. I would like to schedule a tour. Any chance that tomorrow morning would work?",tourBooking
"Hi Ryan, thanks for responding! I would like to schedule a tour. I am free any time on Friday.",tourBooking
"Hi Ryan, to thanks for texting me. Yeah, I'd like to schedule a tour and see the place, I'm available on weekends. Let me know a good time for you.",tourBooking
"Hi Ryan, yes I would like to schedule a tour",tourBooking
"Hi Ryan, yes I would like to schedule a tour but could we do Thursday instead? Thank you for getting back to me",tourBooking
"Hi Ryan, yes I would like to schedule the tour for Thursday afternoon, ok?",tourBooking
"Hi Ryan, yes please I would like to set up a tour of the property.",tourBooking
hi ryan! i'd like to schedule a viewing for today,tourBooking
Hi Ryan! Thanks for a prompt repsonse. I would like to schedule a tour. Do you have any availability on the upcoming friday?,tourBooking
Hi Ryan! We spoke earlier and booked a tour for Monday at 1 pm :),tourBooking
Hi Ryan. I would like to schedule a tour. Is Wednesday afternoon or night works?,tourBooking
Hi Ryan. Thanks for reaching out! I am in LA and won't be able to come up to the Bay. I won't be moving until June and wanted to get a head start looking at buildings. I'd love to keep your contact and reach out in May if that's okay with you!,tourBooking
"Hi Ryan. Yes, my roommate and I would love to schedule a tour. Does Sunday work?",tourBooking
Hi so I scheduled a tour and it's supposedly at this time. What number would I reach them at?,tourBooking
Hi there. Yes I will be there at 4pm for my tour today. Thank you,tourBooking
Hi yes I Would like to schedule,tourBooking
hi yes i would like to schedule a tour,tourBooking
"Hi, can I visit the studio (1,175/mo) on Thuesday or Wednesday after 7pm?",tourBooking
"Hi, my job temporarily shut down till Tuesday for some maintenance, any availability for a tour before then starting tomorrow ?",tourBooking
how do i book a tour,tourBooking
"Hy Ryan, I would like to schedule a tour on saturday at 4pm.",tourBooking
I am available Friday at 2:30pm. Would that work?,tourBooking
I am trying to come out to look at apartments in may. Definitely!,tourBooking
"I can come now, if you guys are ok",tourBooking
I could try to do Saturday afternoon.,tourBooking
I do apologize for the late response. I am at work. But I was specifically interested in seeing unit #05 that I saw advertised for $1195 per month.,tourBooking
I have time tomorrow and Wednesday-,tourBooking
I just booked it actually!,tourBooking
I like person tour,tourBooking
I like this property because it's only $765 I think dont quote me lol,tourBooking
I said 8:00pm don't believe you heard me correct I can do that time sun,tourBooking
I understand thank you. Can I come in this Friday at 4pm?,tourBooking
i want to book a tour,tourBooking
I want to book a tour.,tourBooking
i want to schedule a tour,tourBooking
"i want to schedule a tour
VK",tourBooking
I want to stop by today,tourBooking
I was hoping to take a look today. Is that possible?,tourBooking
I work all day Saturday so sadly that doesn't work for me.,tourBooking
I would like to do you have anything available on Sunday?,tourBooking
I would like to schedule a tour,tourBooking
I would like to schedule a tour for next Friday April 1st,tourBooking
"I would like to see the 2 bedroom place on Thursday, please.",tourBooking
"I would like to yes. Monday - Thursday after 5pm is when my wife and I would be available, is there a time next week that schedule might work?",tourBooking
I would love to schedule a tour. What time would be best?,tourBooking
I would love to schedule an tour,tourBooking
I'd love to come take a look at the property today what time you'll be in till,tourBooking
I'd love to set up a time to go look at this property,tourBooking
"I'll be available after 3:30 - 4pm, if that's alright",tourBooking
I'll see if I can go tomorrow aftrr work,tourBooking
I'm available today or Friday afternoon or any time next weekend,tourBooking
I'm getting ready to go back into work now I would like to talk to you at some point,tourBooking
I'm looking for a may move in so if you don't get it rented by then,tourBooking
I'm not available on the weekend,tourBooking
I'm sorry I'm going to look at the list again and let you know which one I decide to tour.,tourBooking
Is Saturday April 9th at 1pm a good time?,tourBooking
Is the tour tomorrow at 6:00 for #306 or #406 1461 Alice or both?,tourBooking
Just the tour,tourBooking
March 12 will do fine and thanks for asking I'm doing good I look forward to seeing the places the 12th,tourBooking
March 6th at 2:00pm works for me,tourBooking
Monday works great,tourBooking
Needs to be on the 19th,tourBooking
No Thursday is fine but can it be an earlier time?,tourBooking
Oh can we look at all of those apt? They're all same price po dba?,tourBooking
Ok I will be willing to take a tour on Monday morning I will message tomorrow,tourBooking
Ok I will come today Mar 6:00PM up to 7:00 pm,tourBooking
Ok i will come tomorrow mar 09 2021 6:00PM.,tourBooking
Okay so may I see both the studio and 1 bedroom,tourBooking
Okay thanks! Do you have availability next Thursday afternoon?,tourBooking
or actually the weekend of the 19th/20th would be better,tourBooking
"Quick question, were you talking about today or tomorrow for the 3:30 tour?",tourBooking
"Sat Feb 27, 2-2:30 is good!",tourBooking
Saturday 10:00am,tourBooking
Saturday Mar 06 3:00 PM works,tourBooking
saturday works,tourBooking
schedule a tour,tourBooking
"Sorry for switching on you, but Thursday at 6 will actually work better for me! Thanks so much!",tourBooking
"Sorry, actually 6pm works for me on Thursday",tourBooking
Sunday works for me,tourBooking
Sunday would work too :),tourBooking
Thank u I have my appt with him tomarrow I hope he gets the voicemail I cant get there until 3 30 instead of noon time thanks again,tourBooking
Thank you for contacting me. If possible Can we schedule a tour for Thursday or Friday. Thank you,tourBooking
Thank you for reaching out to me I just set up an tour for the 13th,tourBooking
"Thank you Ryan. Yes, it would be better if I could have a schedule.",tourBooking
"Thanks for the reply I will definitely be there at 5pm on Tuesday February 16th to meet with Mr. Gothberg, and thank you for your time Kenneth Quivers",tourBooking
"Thanks! That sounds great!
Thursday works-I believe the time was 5pm on the listing?",tourBooking
That would be awesome! Wednesday afternoon works best for me.,tourBooking
That would be great. When would be a good time for you?,tourBooking
"That's work for me, i will be there at 4:00",tourBooking
The day is fine for me can we schedule the tour and you can help me to fill up the application I try to but I am missing some spots,tourBooking
The time on Thursday Mar 4 actually works,tourBooking
Thursday 6 is good 👍,tourBooking
Today would be great for 11am,tourBooking
tomorrow 3 pm,tourBooking
Tour,tourBooking
Unfortunately for both my roommate and I are students and cannot schedule a tour for tomorrow. Do you have any time on Wednesday 03/10 perhaps?,tourBooking
